busno	busid	stationid	stationnm	x	y
6657	4665700	16205	화곡역.현대주유소	126.84094512883375	37.54064791939065
6657	4665700	16192	까치산역.아이리스성형외과	126.84619278429173	37.532238631509905
6657	4665700	16186	KT강서지사	126.8475167278904	37.52997228689895
6657	4665700	15310	양강중학교	126.85026518688557	37.524814315836224
6657	4665700	15224	신월2동우체국	126.85123266493473	37.52303406719526
6657	4665700	15303	신정네거리역	126.85282168781542	37.51985337760136
6657	4665700	15302	신정1동주민센터	126.85381942972869	37.51757303382525
6657	4665700	15308	남명초교.신정3동주민센터	126.85491255373059	37.51507653398071
6657	4665700	15304	신트리아파트	126.85400340949592	37.513142554810834
6657	4665700	15305	정랑고개.양천벤처타운	126.8498548281675	37.51166135268989
6657	4665700	15309	금옥중.금옥여고.백암고등학교	126.84458271027141	37.50985233346547
6657	4665700	15362	트럭터미널주유소앞	126.84200656477229	37.50901089267195
6657	4665700	미정차	양천공영차고지	126.83762883233365	37.50857332933864
6712	4671200	16133	방화도시7단지.국립국어원	126.81323303832946	37.579059655445164
6712	4671200	16131	방화역	126.81235870264463	37.57691187369181
6712	4671200	16303	강서공업고등학교	126.81652036047551	37.575617241372804
6712	4671200	16432	신방화사거리	126.81649451993566	37.57276795413254
6712	4671200	16306	세민정보고등학교	126.81637932411215	37.56896517242469
6712	4671200	16307	공항중학교	126.81627794869642	37.56322686475339
6712	4671200	16115	KT공항지사	126.81471777146587	37.56107261909205
6712	4671200	16015	송정역	126.81107223803797	37.561349784989645
6712	4671200	16451	롯데몰.김포공항	126.80309432761909	37.56220900674241
6712	4671200	16391	김포공항국제선	126.80126158222386	37.56523450472226
6712	4671200	16410	한국공항공사.이마트공항점	126.7986675419544	37.56210422326739
6712	4671200	16389	김포공항국내선	126.80412418668061	37.55883342666232
6712	4671200	16118	공항시장	126.80892717156225	37.562251930536725
6712	4671200	16120	공항동국민은행	126.810949393771	37.56382488767788
6712	4671200	16122	방화주유소	126.81258485574907	37.566182047158044
6712	4671200	16124	방화1동주민센터	126.81288565357325	37.56992926082037
6712	4671200	16126	국민은행방화동지점	126.8115903307705	37.572718779231394
6712	4671200	16283	방화동동부센트레빌아파트	126.81386437348289	37.573322512619534
6712	4671200	16279	방화동도시개발2단지아파트	126.8185483439985	37.57316400405519
6712	4671200	16278	서남환경공원	126.82260729016888	37.573037712472356
6712	4671200	16276	서남물재생센터	126.82729959369647	37.57268693689394
6712	4671200	16273	마곡실내배드민턴장	126.83073714528588	37.57248376350194
6712	4671200	16271	겸재정선기념관	126.83752441453039	37.570272110492226
6712	4671200	16270	양천초등학교.겸재정선기념관	126.8400360370533	37.56889596972103
6712	4671200	16309	양천향교역	126.84071168422717	37.56685861444665
6712	4671200	16224	KT가양지사	126.84009894752595	37.56488619750789
6712	4671200	16221	서울호서전문학교.등촌주공3단지아파트	126.83945693186598	37.56285786923941
6712	4671200	16219	등촌3동그랜드백화점	126.83853820359094	37.56003799950181
6712	4671200	16112	발산역	126.83948388112836	37.558210971753226
6712	4671200	16292	등촌3동천주교회	126.84603507905962	37.559957904080896
6712	4671200	16297	등촌3동주공10단지아파트	126.84741532044633	37.561966428925565
6712	4671200	16264	허가바위입구	126.85012041054466	37.5660563464918
6712	4671200	16233	공진중학교 우체국앞 허준박물관	126.85116941608605	37.56681098620305
6712	4671200	16235	가양도시개발4단지아파트	126.8531103371276	37.56533562634688
6712	4671200	16237	가양도시개발5단지아파트	126.85500521795512	37.56421340574224
6712	4671200	16240	가양초등학교	126.85955022083463	37.561755313300154
6712	4671200	16243	가양3동도시개발9단지아파트	126.86321798893755	37.55975558904803
6712	4671200	16253	블루나인비지니스센터.이마트	126.86374393553362	37.55624283491985
6712	4671200	16251	태영.삼성한사랑아파트	126.86545743044255	37.55506526835977
6712	4671200	16855	태영송화아파트	126.86751383697082	37.55387544659207
6712	4671200	16250	염창동관음삼성아파트	126.86935810385799	37.55292955067935
6712	4671200	16248	염창동새마을금고	126.87279447482341	37.550157031293715
